stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
222237,,Дитячий диспансер,49.877439,24.003990,222237,0,,0
222241,,Пустомити,49.716962,23.907690,222241,0,,0
222242,,вул. Радоцинська,49.715738,23.911622,222242,0,,0
222243,,вул. Радоцинська,49.716213,23.911649,222243,0,,0
222244,,вул. Зиновія Бабія,49.710507,23.911400,222244,0,,0
222245,,вул. Шухевича,49.711925,23.912046,222245,0,,0
222246,,вул. Грушевського,49.719045,23.904472,222246,0,,0
222247,,вул. Грушевського,49.718890,23.904324,222247,0,,0
222248,,вул. Олеся Гончара,49.721857,23.902691,222248,0,,0
222249,,вул. Олеся Гончара,49.721367,23.902838,222249,0,,0
222250,,вул. Глинська,49.726050,23.899558,222250,0,,0
222251,,вул. Глинська,49.726277,23.899528,222251,0,,0
222252,,станція Пустомити,49.714846,23.909069,222252,0,,0
222253,,станція Пустомити,49.714886,23.908900,222253,0,,0
222254,,Парк,50.103976,24.346433,222254,0,,0
222255,,Міст,50.099606,24.343590,222255,0,,0
222258,,Автостанція,50.105559,24.338000,222258,0,,0
222259,,Міст,50.099878,24.343954,222259,0,,0
222260,,вул. Академіка Сахарова,49.820352,24.019074,222260,0,,0
222262,,Приміський вокзал,49.837576,23.999875,222262,0,,0
222263,,Шевченківський Гай,49.842371,24.069385,222263,0,,0
222264,,Шевченківський Гай,49.842332,24.069028,222264,0,,0
222265,,Кредобанк,49.821574,24.016505,222265,0,,0
222266,,Кардіологічний центр,49.830800,23.990702,222266,0,,0
222267,,Центр зайнятості,49.802410,23.992070,222267,0,,0
222268,,"ТЦ ""ВАМ""",49.871051,24.057945,222268,0,,0
222271,,вул. Городницька,49.864059,24.044443,222271,0,,0
222273,,вул. Раковського,49.814450,24.050853,222273,0,,0
222275,,вул. Степана Бандери,49.834588,24.014265,222275,0,,0
222278,,Школа-інтернат,49.913361,23.925776,222278,0,,0
222279,,Школа-інтернат,49.913494,23.925873,222279,0,,0
222281,,вул. Винниченка,49.819265,24.137097,222281,0,,0
222282,,вул. Винниченка,49.819559,24.137285,222282,0,,0
222283,,вул. Винна Гора,49.823612,24.136928,222283,0,,0
222284,,вул. Лісна,49.823100,24.136904,222284,0,,0
222285,,на вимогу,49.801059,23.950118,222285,0,,0
222286,,на вимогу,49.800930,23.949629,222286,0,,0
222287,,на вимогу,49.797450,23.944230,222287,0,,0
222288,,на вимогу,49.796986,23.943197,222288,0,,0
222289,,вул. Василя Симоненка,49.804771,23.987280,222289,0,222289_station,0
222290,,вул. Василя Симоненка,49.805512,23.985890,222290,0,222290_station,0
222292,,"ринок ""Галицьке перехрестя""",49.874362,24.061732,222292,0,,0
222293,,на вимогу,50.055778,23.982194,222293,0,,0
222294,,на вимогу,50.054129,23.986923,222294,0,,0
222295,,на вимогу,50.048090,23.997349,222295,0,,0
222296,,на вимогу,50.047648,23.997652,222296,0,,0
222297,,на вимогу,50.055527,23.982867,222297,0,,0
222298,,пл. 700-річчя Львова,49.849276,24.025101,222298,0,,0
222302,,вул. Аркаса,49.818258,24.003920,222302,0,222302_station,0
222303,,вул. Аркаса,49.817953,24.003255,222303,0,222303_station,0
222304,,на вимогу,49.751268,24.015094,222304,0,,0
222305,,на вимогу,49.750991,24.014536,222305,0,,0
222306,,на вимогу,49.795377,24.190698,222306,0,,0
222307,,на вимогу,49.795460,24.190012,222307,0,,0
222308,,на вимогу,49.795202,24.204656,222308,0,,0
222309,,на вимогу,49.795365,24.204528,222309,0,,0
222310,,на вимогу,49.796561,24.181935,222310,0,,0
222311,,на вимогу,49.796695,24.181903,222311,0,,0
222312,,вул. Лесі Українки,49.798030,24.175214,222312,0,,0
222313,,вул. Лесі Українки,49.798218,24.174736,222313,0,,0
222316,,на вимогу,49.783822,24.149486,222316,0,,0
222317,,на вимогу,49.783851,24.149239,222317,0,,0
222318,,на вимогу,49.785983,24.146635,222318,0,,0
222319,,на вимогу,49.786401,24.146581,222319,0,,0
222320,,на вимогу,49.788803,24.145090,222320,0,,0
222321,,на вимогу,49.788297,24.145876,222321,0,,0
222322,,на вимогу,49.779373,24.160749,222322,0,,0
222323,,на вимогу,49.779641,24.159856,222323,0,,0
222324,,на вимогу,49.789353,24.141327,222324,0,,0
222325,,на вимогу,49.789111,24.141362,222325,0,,0
222326,,на вимогу,49.797941,24.167127,222326,0,,0
222327,,на вимогу,49.798068,24.167052,222327,0,,0
222328,,на вимогу,49.799224,24.157458,222328,0,,0
222329,,на вимогу,49.799153,24.157181,222329,0,,0
222330,,на вимогу,49.810227,24.220693,222330,0,,0
222331,,на вимогу,49.810194,24.220248,222331,0,,0
222332,,с. Підгірне,49.815376,24.201285,222332,0,,0
222333,,на вимогу,49.816222,24.178902,222333,0,,0
222334,,с. Підгірне,49.815489,24.203648,222334,0,,0
222335,,на вимогу,49.816022,24.178215,222335,0,,0
222336,,на вимогу,49.869643,23.966152,222336,0,,0
222337,,на вимогу,49.869996,23.965666,222337,0,,0
222338,,Школа,49.872730,23.957456,222338,0,,0
222339,,Школа,49.872729,23.958167,222339,0,,0
222340,,вул. Смолича,49.877515,23.948640,222340,0,,0
222341,,вул. Смолича,49.877920,23.948269,222341,0,,0
222342,,на вимогу,49.834467,24.211164,222342,0,,0
222343,,на вимогу,49.834761,24.210166,222343,0,,0
222344,,на вимогу,49.839913,24.167315,222344,0,,0
222345,,на вимогу,49.839804,24.166907,222345,0,,0
222346,,на вимогу,49.883990,24.075868,222346,0,,0
222347,,на вимогу,49.883865,24.075355,222347,0,,0
222348,,на вимогу,49.810466,23.945630,222348,0,,0
222349,,на вимогу,49.810528,23.944756,222349,0,,0
222350,,на вимогу,49.741963,24.015373,222350,0,,0
222351,,на вимогу,49.907507,24.292582,222351,0,,0
222352,,на вимогу,49.907250,24.294020,222352,0,,0
222353,,на вимогу,49.908982,24.280861,222353,0,,0
222354,,на вимогу,49.909018,24.281507,222354,0,,0
222355,,на вимогу,49.917180,24.210281,222355,0,,0
222356,,на вимогу,49.917387,24.210171,222356,0,,0
222357,,на вимогу,49.917105,24.200529,222357,0,,0
222358,,на вимогу,49.917311,24.199815,222358,0,,0
222359,,с. Лисиничі,49.834555,24.126422,222359,0,,0
222360,,с. Лисиничі,49.834294,24.126599,222360,0,,0
222361,,на вимогу,49.832450,24.130735,222361,0,,0
222362,,на вимогу,49.832201,24.130928,222362,0,,0
222365,,Комарно,49.626207,23.693036,222365,0,,0
222366,,смт Великий Любінь,49.722215,23.738330,222366,0,,0
222367,,смт Великий Любінь,49.722253,23.738593,222367,0,,0
222368,,с. Оброшине,49.786761,23.865633,222368,0,,0
222369,,с. Оброшине,49.786673,23.865303,222369,0,,0
222370,,с. Ставчани,49.769269,23.840445,222370,0,,0
222371,,с. Ставчани,49.768917,23.841105,222371,0,,0
222372,,с. Підгайці,49.758442,23.800576,222372,0,,0
222373,,с. Підгайці,49.758484,23.799954,222373,0,,0
222374,,с. Любовичі,49.751135,23.780672,222374,0,,0
222375,,с. Любовичі,49.751147,23.781369,222375,0,,0
222376,,на вимогу,49.695578,23.731872,222376,0,,0
222377,,на вимогу,49.695696,23.732333,222377,0,,0
222378,,с. Бірче,49.689283,23.731813,222378,0,,0
222379,,с. Бірче,49.689217,23.731547,222379,0,,0
222380,,с. Чуловичі,49.664239,23.736579,222380,0,,0
222381,,с. Чуловичі,49.664197,23.736450,222381,0,,0
222382,,с. Якимчиці,49.642540,23.736750,222382,0,,0
